season,award_name,player_id,team_id,staff_id,notes
1979-80,ART ROSS TROPHY,264,,,
1979-80,RICHARD TROPHY,708,,,
1979-80,NORRIS TROPHY,15,,,
1979-80,BOURQUE TROPHY,1144,,,
1979-80,LANGWAY TROPHY,1205,,,
1979-80,CALDER TROPHY,381,,,
1979-80,SELKE TROPHY,1348,,,
1980-81,ART ROSS TROPHY,26,,,
1980-81,RICHARD TROPHY,3561,,,
1980-81,NORRIS TROPHY,181,,,
1980-81,BOURQUE TROPHY,1144,,,
1980-81,LANGWAY TROPHY,1187,,,
1980-81,CALDER TROPHY,,,,unresolved_player=Chris Suire
1980-81,SELKE TROPHY,298,,,
1981-82,ART ROSS TROPHY,965,,,
1981-82,RICHARD TROPHY,965,,,
1981-82,NORRIS TROPHY,1205,,,
1981-82,BOURQUE TROPHY,848,,,
1981-82,LANGWAY TROPHY,1187,,,
1981-82,CALDER TROPHY,843,,,
1981-82,SELKE TROPHY,3539,,,
1982-83,ART ROSS TROPHY,965,,,
1982-83,RICHARD TROPHY,965,,,
1982-83,NORRIS TROPHY,788,,,
1982-83,BOURQUE TROPHY,571,,,
1982-83,LANGWAY TROPHY,1205,,,
1982-83,CALDER TROPHY,836,,,
1982-83,SELKE TROPHY,641,,,
1983-84,ART ROSS TROPHY,3540,,,
1983-84,RICHARD TROPHY,965,,,
1983-84,NORRIS TROPHY,1144,,,
1983-84,BOURQUE TROPHY,571,,,
1983-84,LANGWAY TROPHY,1528,,,
1983-84,CALDER TROPHY,1405,,,
1983-84,SELKE TROPHY,3539,,,
1984-85,ART ROSS TROPHY,3542,,,
1984-85,RICHARD TROPHY,3542,,,
1984-85,NORRIS TROPHY,833,,,
1984-85,BOURQUE TROPHY,833,,,
1984-85,LANGWAY TROPHY,1440,,,
1984-85,CALDER TROPHY,330,,,
1984-85,SELKE TROPHY,3321,,,
1985-86,ART ROSS TROPHY,3540,,,
1985-86,RICHARD TROPHY,3542,,,
1985-86,NORRIS TROPHY,788,,,
1985-86,BOURQUE TROPHY,833,,,
1985-86,LANGWAY TROPHY,706,,,
1985-86,CALDER TROPHY,4770,,,
1985-86,SELKE TROPHY,180,,,
1979-80,VEZINA TROPHY,221,,,
1979-80,LADY BYNG TROPHY,278,,,
1979-80,CONN SMYTHE TROPHY,3561,,,
1979-80,HART TROPHY,264,,,
1979-80,JACK ADAMS TROPHY,,,5,unresolved_player=Scotty Bowman
1979-80,WILLIAM JENNINGS  TROPHY,221,,,
1979-80,TED LINDSAY  TROPHY,264,,,
1980-81,VEZINA TROPHY,688,,,
1980-81,LADY BYNG TROPHY,801,,,
1980-81,CONN SMYTHE TROPHY,181,,,
1980-81,HART TROPHY,1268,,,
1980-81,JACK ADAMS TROPHY,,,5,unresolved_player=Scotty Bowman
1980-81,WILLIAM JENNINGS  TROPHY,2441,,,
1980-81,TED LINDSAY  TROPHY,1268,,,
1981-82,VEZINA TROPHY,221,,,
