PlayerId;TeamId;FranchiseId;First Name;Last Name;Nick Name;Height;Weight;Date Of Birth;Birthcity;Birthstate;Nationality_One;Nationality_Two;Nationality_Three;Retired;Hand;Rookie
0;9;9;Artem;Anisimov;;76;198;1957-5-24;Yaroslavl;YAR;Russia;;;0;Left;0
1;25;25;Niklas;Bäckström;;74;192;1955-2-13;Helsinki;UUS;Finland;;;0;Left;0
2;294;294;Ryan;Bayda;;71;185;1956-12-9;Rosthem;SK;Canada;;;0;Left;0
3;11;11;Jay;Beagle;;75;215;1960-10-16;Calgary;AB;Canada;;;0;Right;0
4;280;280;Matt;Beleskey;;72;207;1961-6-7;Windsor;ON;Canada;;;0;Left;1
5;226;226;Jan;Benda;;75;218;1962-3-28;Brussels;BRU;Germany;Belgium;;0;Right;0
6;5;5;Jamie;Benn;;74;209;1962-7-18;Victoria;BC;Canada;;;0;Left;0
7;287;287;Goran;Bezina;;75;220;1960-3-21;Split;SPL;Switzerland;Croatia;;0;Left;0
8;223;9;David;Booth;;72;212;1956-11-24;Detroit;MI;The United States;;;0;Left;0
9;186;186;Chris;Bourque;;68;174;1954-1-29;Boston;MA;The United States;Canada;;0;Left;0
10;23;23;Brad;Boyes;;73;198;1961-4-17;Mississauga;ON;Canada;;;0;Right;0
11;158;158;Pavel;Brendl;;73;205;1951-3-23;Opocno;KRA;Czech Republic;;;0;Right;0
12;298;298;Sheldon;Brookbank;;74;215;1954-10-3;Lanigan;SK;Canada;;;0;Right;0
13;186;186;Evan;Brophey;;73;203;1957-12-3;Toronto;ON;Canada;;;0;Left;0
14;19;19;Troy;Brouwer;;75;214;1959-8-17;Vancouver;BC;Canada;;;0;Right;0
15;3;3;Brent;Burns;;77;230;1954-3-9;Ajax;ON;Canada;;;0;Right;0
16;295;295;Chris;Butler;;73;201;1954-10-27;St. Louis;MO;The United States;;;0;Left;0
17;186;186;Ryan;Caldwell;;75;212;1947-6-15;Brandon;MB;Canada;;;0;Left;0
18;160;160;Chris;Campoli;;72;201;1948-7-9;Mississauga;ON;Canada;;;0;Left;0
19;8;8;Marc-Andre;Cliche;;72;203;1957-3-23;Rouyn-Noranda;QC;Canada;;;0;Right;0
20;165;165;Richard;Clune;;70;207;1954-4-25;Toronto;ON;Canada;;;0;Left;0
21;303;303;Erik;Condra;;72;188;1953-8-6;Trenton;MI;The United States;;;0;Right;0
22;15;15;Sidney;Crosby;;71;201;1957-8-7;Cole Harbour;NS;Canada;;;0;Left;0
23;282;282;Zac;Dalpe;;74;196;1954-11-1;Paris;ON;Canada;;;0;Right;0
24;22;22;Pavel;Datsyuk;;71;189;1961-7-20;Yekaterinburg;SVE;Russia;;;0;Left;0
25;164;164;Niko;Dimitrakos;;70;192;1951-5-21;Somerville;MA;The United States;Greece;;0;Right;0
26;3;3;Matt;Duchene;;71;200;1959-1-16;Dysart;ON;Canada;;;0;Left;0
27;186;186;Philippe;Dupuis;;72;192;1948-4-24;Laval;QC;Canada;;;0;Right;0
28;186;186;Ben;Eager;;75;227;1961-1-22;Ottawa;ON;Canada;;;0;Left;0
29;300;300;Andrew;Ebbett;;70;179;1956-1-2;Vernon;BC;Canada;;;0;Left;0
30;17;17;Jordan;Eberle;;72;190;1960-5-15;Regina;SK;Canada;;;0;Right;0
31;11;11;Alexander;Edler;;76;220;1961-4-21;Östersund;JäM;Sweden;;;0;Left;0
32;3;3;Lars;Eller;;73;216;1954-5-8;Rødovre;COP;Denmark;;;0;Left;0
33;218;218;Noel;Acciari;Cookie;70;209;1953-12-1;Johnston;RI;The United States;;;0;Right;0
34;19;19;Andreas;Engqvist;;75;198;1953-12-23;Stockholm;STO;Sweden;;;0;Right;0
-1;158;158;Jiri;Klikar;;71;188;1967-8-8;Cvikov;LIB;Czech Republic;;;0;Right;0
36;283;283;Ruslan;Fedotenko;;74;201;1954-1-18;Kyiv;KYI;Ukraine;The United States;;0;Left;0
-1;-1;-1;Roslan;Faferek;;75;177;1968-9-15;Katowice;SLA;Poland;;;0;Left;0
38;23;23;Valtteri;Filppula;;72;195;1962-3-20;Vantaa;UUS;Finland;;;0;Left;0
39;9;9;Mike;Fisher;;73;216;1961-6-5;Peterborough;ON;Canada;;;0;Right;0
40;280;280;Kurtis;Foster;;77;220;1959-11-24;Ottawa;ON;Canada;;;0;Right;0
41;299;299;Cody;Franson;;77;225;1953-8-8;Salmon Arm;BC;Canada;;;0;Right;0
42;22;22;Johan;Franzen;;74;231;1959-12-23;Vetlanda;JöN;Sweden;;;0;Left;0
43;224;22;Dan;Fritsche;;74;202;1957-7-13;Parma;OH;Switzerland;The United States;;0;Right;0
44;15;15;Marian;Gaborik;;73;204;1959-2-14;Trencín;TRE;Slovakia;;;0;Right;0
45;237;3;Michael;Garnett;;73;214;1961-11-25;Saskatoon;SK;Canada;;;0;Left;0
46;23;23;Ryan;Getzlaf;;76;227;1956-5-10;Regina;SK;Canada;;;0;Right;0
47;17;17;Alex;Goligoski;;71;190;1959-7-30;Grand Rapids;MN;The United States;;;0;Left;0
48;296;296;Andrew;Gordon;;71;180;1959-12-13;Halifax;NS;Canada;;;0;Right;0
49;300;300;Mikhail;Grabovski;Grabo;71;185;1954-1-31;Potsdam;BRA;Belarus;;;0;Left;0
50;285;285;Evgeny;Grachyov;;76;225;1954-2-21;Khabarovsk;KHA;Russia;;;0;Left;0
51;223;9;Jaroslav;Halak;;71;186;1954-5-13;Bratislava;BRA;Slovakia;;;0;Left;0
52;301;301;Matt;Halischuk;;72;181;1958-6-1;Toronto;ON;Canada;;;0;Right;0
53;15;15;Scott;Hartnell;;74;216;1959-4-18;Lloydminster;AB;Canada;;;0;Left;0
